LWC_3406416927059493_01,等 坐 的 时候 遇到 一 <CL> 刚 出生 的 小狗 。,小狗,条,只,个,只
LWC_3403689731892437_01,12 打 卧槽 还 有 两 <CL> 妹子 不 喝 情 何以堪,妹子,位,个,个,个
LWC_3400779147685348_01,13 <CL> 集合 再 练 过,集合,号,个,号,号
LWC_3402391435146402_01,这么 快 就 要 准备 出发 了 这 <CL> 时间 不 要 短讯 我沃 手信 我 尽量 阿亲,时间,段,段,段,段
LWC_3400521152918521_01,"我 挑选 的 礼物 又 回到 了 我 的 手上 有 没 有 人 要 交换 的 , 哎 , 早 知道 是 这 <CL> 结局 , 我 当初 何必 那么 认真 呢 !",结局,种,个,种,种
LWC_3402661401407965_02,数 <CL> 救 火车 已 于 刚才 赶往 现场 。,火车,辆,列,次,辆
LWC_3402494539846565_04,偷听 到 <CL> 大 offer,offer,个,个,个,个
LWC_3401500563491029_03,如果 你 此刻 如 我 同 听 一 <CL> 歌 。,歌,首,首,首,首
LWC_3404304712993906_01,"领团网 温州 推荐 计生 团 荷兰 Feelztoys Fonzie 女用 自慰器 , G 点 刺激 , 拥有 7 <CL> 不同 的 震动 频率 , 有 强 有 弱 还 有 不同 高低 节奏 , 能 让 你 体会 不同 的 性爱 感受 。",频率,种,个,个,种
LWC_3400791576774061_01,"你 每 <CL> 都 这样 烦 不 烦 , 你 不 烦 我 都 烦 了",烦,次,种,次,次
LWC_3403395291375929_02,"然而 在 這個 國度 , 尊重 規則卻 不 是 一 種美德 , 反倒 是 一 <CL> 非常 吃虧 的 事情 , 偉大 的 寬容心 啊 , 你 的 心 要 多寬 才 能 容納 旁門 左道 佔優者 的 嗤笑 ?",事情,件,件,把,件
LWC_3404773196154893_03,"但是瓷 , 都 别 忘 了 咱们 曾 说 过 要 混出 <CL> 人样儿 来 。",人样儿,个,个,个,个
LWC_3403643690187164_01,发表 了 一 <CL> 转载 博文 转载 天士力 综述 下 更 新 中,博文,篇,篇,篇,篇
UCLA_J_21628_01,"两边 主 翼 下 各 有 三 <CL> 挂架 , 外侧 挂架 挂载 PL-9 空对空 飞弹 , 中间 挂架 挂载 PL-10 中程 空对空 飞弹 , 翼根 挂架 挂载 副油箱 。",挂架,个,个,个,个
LWC_3402364489135529_03,"我 就 微笑 点头 , 然后 三十 秒 后 一 <CL> 热气 腾腾 没有 叉烧 和 卤蛋 的 汤粉 就 端 到 我 面 前 , 完全 配合 我 的 节奏 和 速度 。",热气,碗,碗,碗,碗
LWC_3402164451607862_01,有 <CL> 感情 是 不 被 接受 。,感情,种,段,种,种
LWC_3401910864532467_01,我 好 烦 你 这样 可 这 一 <CL> 话 我 就 泪 奔 了 你 怎么 可能 不 在 我 心 里,话,句,句,句,句
LWC_3404917223998824_01,正月 里来 是 新年 罗哦哦 大年 初 一 <CL> 一 天 啊啊,啊啊,头,个,头,头
LWC_3403523042042555_01,"回复 了 癫痫病 能 治愈 恶吗根椐 您 的 描述 , 符合 癫痫病 , 治疗 上 首先 需要 来 医院 检查 , 查找 一 <CL> 引起 癫痫 的 病因 是 什么 , 这样 才 能 针对 病因 进行 治疗 。",病因,下,个,系列,个
LWC_3400237412762278_01,萌萌 之中 感觉 有 一 <CL> 奇妙 的 变化 是 好 是 坏 ?,变化,种,个,种,种
LWC_3406238572850504_01,各 <CL> 新年 征兆,新年,种,个,种,种
LWC_3400011451090532_01,中奖 了 三 <CL> 奖 欧舒丹手霜,奖,等,等,个,等
LWC_3401957194406496_04,然后 穿越 了 好几 <CL> 小 马路 找到 目的地 。,马路,条,条,条,条
LWC_3404462905584020_01,"浩明 , 果 <CL> 都 唔系 李欣微 薄 好 磨 !",李欣微,个,个,个,个
LWC_3400227963102676_01,美国 国家 影评人 协会 奖 忧郁症 夺得 最 佳 影片 最 佳 女 演员 克尔斯滕邓斯特 两 <CL> 重要 奖项 。,奖项,个,个,个,项
LWC_3402784750187041_01,"静静 结婚 了 , 下 <CL> 学期 宣宁 的 电影史 不 好 过 了 。",学期,个,个,个,个
LWC_3405643107462921_03,当然 你 也 可以 忽视 那 <CL> 运字 。,运字,个,个,个,个
LWC_3400436845552585_01,"工作 了 12 小时 以上 , 今日 30 <CL> 网站 , 才 做 了 一半 !",网站,个,个,个,个
LWC_3405840558306360_01,找到 <CL> 上网 的 地方 不 容易 芭堤雅 的 海,地方,个,个,个,个
LWC_3401876253120915_01,头发 留到 这 <CL> 程度 。,程度,种,种,种,种
LWC_3401386114504171_03,"二 是 将 干硬 馒头 剁成 碎末 , 根据 自已 的 口味 加入 盐味 精 酱油 葱 姜 蒜 末 或 五香粉 等 各 <CL> 作料儿 , 加 适量 水和匀 , 揉成 丸子 , 或 蒸 或 炸 。",作料儿,种,个,种,种
LWC_3403844669220218_01,"作为 一 <CL> 苦 逼 改 签 回家 , 不幸 只有 头等舱 可回 的 人 , 诚征 建议 如何 能 装 的 象 经常 坐 头等 的 人 !",人,个,个,个,个
LWC_3405350537833169_01,"好 幸运 好 幸运 , 终于 有 一 <CL> 人 认出 我 了 , 而且 还 是 赤 果果 的 大 帅哥 哈哈哈",人,个,个,个,个
LWC_3403661990221524_01,第五 <CL> 你 体 左 米 ?,体,集,个,次,句
LWC_3407316571456469_06,等 你 给 我 一 <CL> 完满 的 答案 我 会 嫁给 你 !,完满,个,个,个,个
LWC_3403484651081828_01,第一 <CL> 行 花市 好靓,行,次,次,次,次
LWC_3406277105421998_01,"今晚 跟 小朋友 一起 画画 , 想起 了 自己 童年 时 喜爱 画画 的 快乐 时光 每 <CL> 孩子 都 有 自己 描绘 的 童话 世界 , 可是 随着 年龄 的 增长 童话 世界 也 在 我们 心 中 渐渐 消失 了 嘛 ?",孩子,个,个,个,个
LWC_3403900657703215_01,到 了 香港 你 不得不 去 的 8 <CL> 地方 原文 地址,地方,个,个,个,个
LWC_3405092739309892_01,"女儿 在 玩 大 鱼 吃 小 鱼 , 真 是 <CL> 游戏迷 !",游戏迷,个,个,个,个
LWC_3407218701558635_01,"陈冠希 虽然 劣迹斑斑 , 不过 我 一直 觉得 他 是 <CL> 好 艺人 , 其实 演艺圈 这样 的 人 有 很 多 , 只不过 没有 被 曝光 而已 。",艺人,个,个,个,个
LWC_3400157461194326_01,上传 了 18 <CL> 照片 到 相册 萌宅腐,照片,张,张,张,张
LWC_3400867936407467_01,还 睡 得到 两 <CL> 小时 。,小时,个,个,个,个
LWC_3402344423275762_01,尼玛 有 <CL> 围脖 被 盗 的 感觉 。,感觉,种,种,种,种
LWC_3405971982636484_01,"这 <CL> 的 主裁 要是 在 我 面 前 , 百分百 让 我 给 用 白 刀子 进 红 刀子 出 !",主裁,场,盘,次,次
LWC_3404220256661242_01,"昨晚 临 睡 前 , 朦朦胧胧 的 , 只 记得 一 <CL> 事 就 是 啊奕斯 说 要 请 我们 去 看 电影 和 肯德基 !",事,件,件,件,件
LWC_3403152604833598_01,等 巴士 阵到 见到 <CL> 中 非 混血儿 突然 叫 我 姐姐 而且 仲系 用 中文 叫 不过 距 个样 肤色 系 黄种人,混血儿,个,个,个,个
LWC_3401044652854263_01,"下午 打车 等 了 1 <CL> 多 小时 , 有史以来 最 长 的 时间 , 崩溃 了",小时,个,个,个,个
LWC_3402830390269251_01,"媒体 新闻 物价 部门 曝光 6 <CL> 欺诈 手法 零容忍 重塑 市场 诚信 体系 岁末 年初 , 不少 商家 都 打出 了 促销 的 广告 , 不过 一些 促销 信息 中 暗藏 猫腻 。",手法,种,种,类,种
LWC_3404240892775048_02,"车 目前 到 南陵 , 只要 不 是 暴雪 没 封 大桥 就 行 铺成 一 <CL> 银白色 迎接哥 的 到来 吧 !",迎接哥,片,个,片,片
LWC_3404207124172116_01,怎么 一 <CL> 活生生 的 人 躺 在 路边 都 没 人 来 救 ?,人,个,个,个,个
LWC_3406610049452160_01,"临 睡 前 晒晒 我 的 小 感恩 和 小 满足 , 希望 这 整个儿 的 幸福 从 现在 开始 一直 延续 有幸 能 给 一 <CL> 既 能 干 又 大气 漂亮 的 嫂嫂 做 小 姑子 绝对 是 赚到 。",嫂嫂,位,桩,个,个
LWC_3403574367103239_01,"现在 过年 真 是 折磨 , 坐 在 一 <CL> 亲戚 中间 跟 接受 审问 似 的 , 就 差 没 在 我 脸 上 打 灯 了 。",亲戚,堆,个,个,群
LWC_3399931647762306_02,"在 游戏 开心 麻將 中 获得 了 成就 三杠 , 成为 微博 第 11 <CL> 获得 该 成就 的 人 , 你 想 和 TA 比 试 一下 吗",获得,位,位,位,位
LWC_3403804685301012_02,掂 起 回家 的 行囊 有 一 <CL> 沉重 的 轻松 。,轻松,种,种,份,种
LWC_3405867695272916_01,"因为 人类 倾向于 让 旧有 的 情绪 恒久 存在 , 所以 几乎 每 <CL> 人 都 带 着 累积 已 久 的 过往 情绪 伤痛 的 能量 场 , 我 称 之 为 痛苦 之 身 。",人,个,个,个,个
LWC_3402919745639344_01,女排 被 恒 大 各 <CL> 虐来虐去 。,虐来虐去,种,个,种,种
LWC_3402171836694489_01,"我 侄子 发 神经 把 两 <CL> 果子 塞 在 衣服 里面 , 然后 对 我 说 姑姑 我们 来 比 大小 , 我 的 肯定 比 你 大 !",果子,个,个,颗,个
LWC_3402159166712900_01,你们 怎么 还 没 过来 家里 来 了 一 <CL> 帅哥,帅哥,个,个,个,群
LWC_3402204620671963_06,"也许 可以 从新 开始 , 从新 追求 , 这 会 是 一 <CL> 唯一 的 办法 。",办法,个,个,个,个
LWC_3403314194860910_01,这 <CL> 准 吴 太 ?,准,位,个,张,位
LWC_3400013734538807_01,"每 天 重复 做 一 <CL> 事情 , 就 是 起床 之后 回 店 里 , 然后 等 着 顾客 朋友们 来 找 我 弄 头发 , 有点 厌倦 这样 的 生活 , 去 开张 健身卡 , 锻炼 一下 身体 , 也许 不 会 那么 累",事情,件,件,件,件
LWC_3407304773297574_01,"这 <CL> 宝贝 这 两 天 问 的 人满多赫维 第卡 法国 1855 列级 名庄 法国 白马 庄园 2004 限量 , 价格 688800 元 , 见",宝贝,件,件,件,件
LWC_3407012073719728_01,我 就 像 <CL> 满 血 满 激情 的 神经病 。,神经病,个,个,个,个
LWC_3400142512364064_03,"其中 一 <CL> 黄 姓 南 都 娱乐 周刊 记者 伤势 较 重 , 该 记者 颈部 , 胸部 , 双 下肢 软 组织 顿 挫伤 。",南,名,层,位,名
LWC_3404145426021016_01,给 点 耐心 供 <CL> 爱心 多 些 关心 收成 时 会 有 意想不到 的 结果,耐心,点,些,个,点
LWC_3400875760515638_01,"我 参与 了 发起 的 投票 盘点 20 大 帅哥 明星 , 你 最 爱 谁 , 我 投给 了 郑嘉颖 这 1 <CL> 选项 。",选项,个,个,个,个
LWC_3404621294424869_01,哈哈哈 刚刚 干掉 一 <CL> 榴莲 太 爽了,榴莲,个,个,个,个
LWC_3402921796753284_01,只 是 想 一 <CL> 人 好好 安静 下,人,个,个,个,个
LWC_3406212878119013_01,"其实 吧 , 我 觉得 , 财神 财大人 即使 是 <CL> 神 , 也 要 睡觉 的 吧 , 要 来 也 是 早上 来 , 要 迎 也 是 早上 迎 。",神,个,个,个,个
LWC_3400729136126104_01,话 说 前 几 年 看 过 一 <CL> 龙 骑士 结尾 悬念 很 大 的 但是 续集 就 这么 太监 了,太监,片,个,个,部
LCMC_G27_0036_01,"我 可以 一口气 看 完 一 <CL> 小说 , 就是 无法 看 懂 水 是 由 什么 组成 , 人 是 什么 碳 水 化合物 ?",小说,本,本,本,本
LWC_3401807215117831_01,600 卢比 就 能 买 <CL> 中国 的 山寨机 在 印度 !,山寨机,个,个,个,个
LWC_3402867203886823_01,有 冒人 今晚 得闲 食 <CL> 饭,饭,个,顿,个,个
LWC_3404682728913482_01,我 怎么 一直 没 发现 这 <CL> 天桥 上 这么 好 风光,天桥,座,座,座,种
LWC_3406126895270172_01,"某 <CL> 傻子 在 我 面 前 , 无奈 身材 太 火辣 , 我 都 不 敢",傻子,个,个,个,个
LWC_3405803386442608_01,这 是 我 第一 <CL> 称 央视 为 CCAV 。,称,次,个,次,次
LWC_3405965427200165_02,对 皇马 的 评价 一 <CL> 字乱 。,字乱,个,个,个,个
LWC_3403184800449129_01,"自己 包 了 几 <CL> 不 像样 的 饺子 , , 不过 味道 不错",饺子,个,个,个,个
LWC_3403419698394503_01,对 说 很 好 的 姑娘 很 希望 能 在 微博 上 做 <CL> 朋友,朋友,个,个,个,个
LWC_3400408137559335_01,神马 时候 才 能 在 非 山寨 的 UB 上 弹 到 这 <CL> 歌 Glossy MMM,歌,首,首,首,首
LWC_3405209072091196_02,看来 早晚 会 把 英 <CL> 里 史 忘 干净 了,忘,个,次,堂,个
LWC_3402674276605237_01,"臭 猫 , 再 叫 小心 我 把 你宰 了 <CL> 花盆 里 去 !",花盆,种,个,个,个
LWC_3401261716360078_01,"看 起来 似乎 很 像 是 在 19 世纪 的 图书馆 里面 看书 , 当然 还 差 <CL> 天价 的 实木 古董 书桌 来 搭配 它 , 还 有 一 屋子 的 书 , 铜 的 滑动 楼 梯架 在 书架 上 , 哇 哈哈 , 新年 果然 就 是 要 想 很多 。",天价,个,只,个,个
LWC_3406039905428232_01,每 天 早上 都 被 各 <CL> 理由 叫醒 让 我 睡 会 觉 吧 !,理由,种,个,种,种
LWC_3404536131618184_01,"今天 是 除夕 , 打开 窗户 外面 银装 闪闪 , 好 一 <CL> 美丽 的 雪景 ,",雪景,幅,张,张,幅
LWC_3404875943777621_02,"状态 一般 , 公司 只 剩 我 一 <CL> 人 了 , 公交 半 小时 之前 就 有 了 , 我 怎么 没 走 , 总 觉得 缺点 什么 。",人,个,个,个,个
LWC_3402991342438474_02,难道 那 不 是 应该 两 <CL> 人 一起 解决 的 问题 吗 !,人,个,个,个,个
LWC_3400400691148943_01,后 半 <CL> 学期 没 怎么 读 语文 明天 语文 怎么 及格 下午 还 有 烦 人 的 物理,学期,个,个,个,个
LWC_3399737225196407_01,这 可能 是 目前 最 悲催 的 一 <CL> 超速 违章 照片 通知 。,照片,张,张,个,次
LWC_3400649742173735_01,"我 参与 了 发起 的 投票 博采众 赏 第一 期 赏 爱车 活动 北京 区 总 决赛 投票 , 我 投给 了 筱慧慧 老公 这 1 <CL> 选项 。",选项,个,个,个,个
LWC_3403329810435323_02,"在 游戏 僵尸 之 王 OL 中 获得 了 成就 牛刀小试 , 成为 微博 第 12 <CL> 获得 该 成就 的 人 , 你 想 和 TA 比 试 一下 吗",人,位,个,位,位
LWC_3400884069672825_02,"多 选 , 我 投给 了 医生 敬礼 出动 身份 压制 CaptainJW 这 8 <CL> 选项 。",选项,个,个,个,个
LWC_3401714663511113_02,"两 <CL> 朱 老师 , 搞上 了 搞上 了 。",老师,个,个,位,个
LWC_3403054504240080_03,"传说 久命 是 第一 <CL> 为 爱情 而 死去 的 人 , 她 与 羽排 相亲 相爱 , 但 受到 羽排 父母 的 阻挠 , 久命 虽然 做 了 种种 努力 , 但",人,个,个,个,个
LWC_3400458031393719_01,"今日 真 系 吓亲 下 添 上 <CL> 夜班 真 系 辛苦 , 甘 夜先 可以 翻到 我 温暧噶 床铺 上 训上 一 觉 舒服噶 !",夜班,个,个,个,个
LWC_3405056936666008_01,我 要 买 一 <CL> 橡皮擦,橡皮擦,块,块,盘,包
LWC_3403843956469546_01,走 了 一 <CL> 原 生态 的 线路 佩服 开发 此 路线 的 人 风景 不错 。,线路,条,条,条,条
LWC_3406532634985899_01,"大年初五 , 收到 的 礼物 是 的 我 是 <CL> 熊猫 爱好者",爱好者,个,个,个,个
LWC_3403697554443815_02,今天 来 了 一 <CL> 黑 配金 豹纹,豹纹,身,个,张,款
LWC_3405126172002351_01,爵士舞 change 环资 建筑 外院 2010 <CL> 迎新 晚会 分享 自,晚会,级,台,波,届
LWC_3405046635379979_01,"嘿 , 我 正在 使用 车模 检索 器哟 , 通过 身高 埃菲尔 铁塔 胸围 两 <CL> 小 山丘 臀围 吉他 的 筛选 , 我 在 2011 广州 车展 找到 了 自己 心目 中 的 女神 , 绝对 劲爆 , 还 有 勋章 可以 拿 呢 。",山丘,座,座,座,座
LWC_3400613465942037_01,"昨晚 和 妈妈 一起 合作 炸素 丸子 , 值得 庆幸 的 是 第一 <CL> 学搓 丸子 的 我 , 搓 的 还 挺 像样 !",丸子,次,个,次,次
LWC_3401552144869693_01,第一 <CL> 投稿 。,投稿,次,篇,次,次
LWC_3403040046313510_01,我 听 过 这 <CL> 专辑 孩子 Tears for Children 陈升,专辑,张,张,张,张
LWC_3405189379969839_02,我 操 古 剑 其实 打到 蓬莱 以后 就 打 不 下去 了 贴吧 里 各 <CL> 剧透 是 罪魁祸首 。,剧透,种,集,种,种
LWC_3407305385578446_02,都 是 代表 爱 的 誓言 99 <CL> 天长地久 FOREVER !,FOREVER,朵,个,把,个
LWC_3400517361753606_01,第一 <CL> 觉得 夜 好 长 好长 。,觉得,次,次,次,次
LWC_3406601467749522_01,"昨晚 梦到 我 独自 一 人 乘坐 火车 逃离 已 被 丧尸 占领 的 城市 , 谁 知 火车 上 有 一 人 被 感染 病毒 变成 丧尸 到处 揸人 导致 整 <CL> 火车 都 是 丧尸 , 我 跳下 车窗 , 逃过一劫 。",火车,辆,列,辆,辆
LWC_3402685224591624_04,今晚 各 <CL> 爆肚 真的 hold 不 住 !,爆肚,种,个,种,种
LWC_3407015345130459_01,今天 各 <CL> 差一点 啊啊 啊啊,啊啊,种,个,种,种
LWC_3400633693327889_05,敢 不 敢 翘 <CL> 班来 陪 我 玩儿麻 ?,班来,个,个,个,个
LWC_3406041457226752_02,"在 游戏 新 快活 林中 获得 了 成就 丰衣足食 不 发愁 , 成为 微博 第 33 <CL> 获得 该 成就 的 人 , 你 想 和 TA 比 试 一下 吗",人,位,个,位,位
LWC_3404479720481578_01,"如果 我 24 小时 不 QQ , 不 短信 , 不 微博 , 原因 只有 一 <CL> 今天 我们 在一起 。",在一起,个,个,个,个
LWC_3405686501419511_03,这 <CL> 的 好 辣 好 辣 !,好,次,个,家,家
LWC_3407091591631974_01,"偏偏 在 春节 后 第一 天 上班 , 那 <CL> 小 雪粒 打 的 啊 , 脸 疼",雪粒,个,个,个,个
LWC_3402884295250117_01,"张静茹 默默 之中 居然 已经 积累 了 如此 的 人脉 关系 , 2012 <CL> TA 注定 会 是 不 平凡 的 一 年 。",TA,对,对,对,对
LWC_3401932081847165_01,"讨厌 被 困 在 山里 了 车子 的 油管 破 了 , 打 电话 给 110 也 不 知道 怎么 说 是 那 <CL> 地方 山里 真的 好 冷肿么 办",地方,个,个,个,个
LWC_3407248002999313_01,为什么 我 的 名字 旁边 有 <CL> 蛋 ?,蛋,个,个,个,个
LWC_3400350141695244_01,巨人 把 云朵 打 了 <CL> 结,结,个,个,个,个
LWC_3400921250640633_01,"一大早 就 开到 杭州 机场 , 这么 早 就 人山人海 , 看 着 朋友 为了 回国 过 春节 座 二十几 <CL> 小时 飞机 真 是 辛苦 。",小时,个,个,个,个
LWC_3400438382708814_02,"我 新建 了 notepad , 打 了 3 <CL> SHIT 你 还 没 明白么 ?",SHIT,个,个,次,次
LWC_3402560356893093_02,", 我 投给 了 博客 什么 的 弃置 很 久 了 这 1 <CL> 选项 。",选项,个,个,个,个
LWC_3402483156568161_01,联想 春晚 小丑 那 <CL> 节目 好棒 与 您 欢度 龙年 同 乐 新春 !,好棒,个,页,个,个
LWC_3404940022648830_01,"今年 又 冷 又 下雨 , 他们 的 麒麟 只 能 在 室内 进行 了 , 在 窗户 望 了望 几乎 没 几 <CL> 人 看",人,个,个,个,个
LWC_3403510672113189_01,拥抱 太阳 的 月亮 13 <CL> 清晰 完整版,完整版,集,个,集,集
LWC_3404839310988163_01,新年 快乐 希望 新年 身体 健康 财运 好好 有 <CL> 靓靓 桃花 俾我,俾我,个,个,个,朵
LWC_3406406978004186_01,"孤独 一 <CL> 人 , 心情 极差",人,个,个,个,个
LWC_3405985995807132_03,卡莱洪 不错 多 给 <CL> 机会 吧 。,机会,些,个,点,点
LWC_3403189837862868_01,"新 的 一 年 , 没什么 大 的 愿望 , 只 希望 能 一 <CL> 人 整整齐齐 , 健健康康 , 快快乐乐 , 幸幸福福 的 在一起 就 好 了 。",人,家,个,家,家
LWC_3400935389565084_01,"既然 认定 了 这 <CL> 路 , 何必 问 它 要 走 多久 。",路,条,条,条,条
LWC_3405006319363796_01,我 正在 使用 乐视 影视 Android 版 下载 大唐 双龙 传 之 长生 诀第 27 <CL> 下载 软件,软件,集,个,集,集
LWC_3402606741729521_03,"想起 前 两 年 同 老婆 雨 中 购花 , 在 陈村 花卉 世界 买 了 好几 <CL> 开 得 鲜艳 的 杜鹃 , 年意 浓浓 , 爱意 浓浓 。",杜鹃,盆,盆,层,盆
LWC_3407030272781967_03,"其实 每 <CL> 人 都 会 这样 , 并不 是 你贱 。",人,个,个,个,个
LWC_3402734051233372_01,过 年 好 想 去 佛罗伦萨 小 镇 你 几 <CL> 回来 ?,回来,号,次,号,号
LWC_3404168956203157_01,看 过 杀妻 总 动员 一 <CL> 充满 狂想 色彩 基情 温情 寓意 日式 英伦 幻想 的 影片 。,影片,部,部,部,部
LWC_3400913151365086_02,"处 女座 , 有 很多 人 羡慕 , 很多 人 嫉妒 , 很多 人 厌恶 , 几乎 没有 一 <CL> 星座 能 有 这样 大 的 争议性 。",星座,个,个,个,个
LWC_3405050024307200_03,"此 为 开篇 其实 我 想 at 所有 人 可惜 , 所以 a 了 前 五 <CL> 希望 你们 喜欢",希望,个,个,个,位
LWC_3407322065775417_01,我 也 想 尝试 看看 戴 着 墨镜 一 <CL> 人 去 旅游,人,个,个,个,个
LWC_3401793149977565_01,"起因 , 只 是 因为 我 想 找 一 <CL> 能 带回 美国 的 匡威 。",匡威,双,双,把,双
LWC_3400516147867054_01,"12 微 阅读 香烟 相亲 回来 , 经过 一 <CL> 思考 , 终于 下定 决心 嫁给 火柴 。",思考,番,番,番,番
LWC_3402357639813022_01,我 了 <CL> 去去去 去去 。,去去去,个,个,个,个
LWC_3405953279669056_01,看 了 下 国家 德比 错过 了 一 <CL> 进球 。,进球,个,个,个,个
LWC_3402108105676535_01,"我 参与 了 发起 的 投票 你 中意 林峰 定系 张敬轩 , 我 投给 了 林峰 这 1 <CL> 选项 。",选项,个,个,个,个
LWC_3404620775050277_01,过年 听到 次数 最 多 的 一 <CL> 问候 是 什么 ?,问候,句,句,句,句
LWC_3399833880783897_02,座 第一 <CL> 位 真的 好 冷,位,张,个,等,个
LWC_3405948943229832_02,全 米 作続 2 作 連続 同 首 <CL> 獲得 。,獲得,位,个,份,次
LWC_3404723942518498_01,"太阳 一 出 照 四 方 , 姑娘 穿 了 一 <CL> 的确良 分享 赵 已然 的 单曲 流浪汉",的确良,件,个,个,件
LWC_3403726926669126_01,你 就 是 <CL> 伪君子 去年 1 月 30 日 你 说 再 不 联系 了 !,伪君子,个,个,个,个
LWC_3402266562356661_02,"在 游戏 梦想 商业街 中 获得 了 成就 购物 广场 , 成为 微博 第 87 <CL> 获得 该 成就 的 人 , 你 想 和 TA 比 试 一下 吗",人,位,个,位,位
LWC_3402186453796301_01,我 在 这里 上庄 家园 没有 疯狂 排队 的 4S 发 <CL> 状态,状态,个,种,个,个
LWC_3402236275486592_01,让 你 去 疯 让 你 去 狂 让 你 在 没有 我 的 地方 坚强 我 要 找 的 是 一 <CL> 会 为 我 擦眼泪 的 人,人,个,个,个,个
LWC_3403070266670710_01,"喜欢 这 <CL> 大清早 去 吃饭 的 感觉 , 好像 又 回到 了 英才 。",感觉,种,种,种,种
LWC_3405662790709503_02,"过年 开心 , 贴 <CL> 幽默 照片 , 童靴闷 , 不 要 过分 解读 好 不 好 , 这样 是 很 扯淡 地 !",照片,点,张,个,个
LWC_3401228730799098_02,"头 一 <CL> 学习 学到 快 天亮 , 没有 困意 , 神奇 就 此 留念 !",学习,次,个,次,次
LWC_3402852778811075_01,"哇 哈哈 , 今天 RP 爆发 啊 , 捕鱼 达 人 5 秒 之内 连 抓 两 <CL> 大 鱼 , 嘿嘿",鱼,只,条,条,条
LWC_3400612694073596_02,hnq0008 又 完成 了 一 <CL> 市民 的 心愿 。,心愿,个,个,个,个
LWC_3405559518834999_01,希望 接 红包 的 时候 打开 里面 写 着 再 来 一 <CL> 通过 发现,发现,包,次,张,次
LWC_3400902045839488_01,"从 2008 年 至 今年 1 月 7 日 , 一 男子 在 潍坊 广州 和 深圳 三 地 用 榔头 将 7 <CL> 从事 卖淫 的 失足 女子 锤成 重伤 , 他 被 抓获 时 , 身上 还 带 着 伤人 时 残留 的 血迹 。",从事,名,批,名,名
LWC_3402238551333840_01,车厢 有 俩 <CL> 小 女孩 !,女孩,个,个,个,个
LWC_3401526928731754_03,下 <CL> 加下 你 试一试,加下,次,个,次,次
LWC_3402311834113099_01,原来 那 三 <CL> 字 居然 如此 有 魔力,字,个,个,个,个
